ああ	Ah!
やすい	cheap, inexpensive
やすみ	holiday, vacation
やま	mountain
やる	to do
よく	often
よぶ	to call
よむ	to read
よる	night
れい	zero
わかい	young
わすれる	to forget
わたし	me, I
わたす	to hand over
わたる	to cross
わるい 	bad
