Japanese	English
におい	a smell
にがい	bitter
にかいだて	two storied
にげる	to escape
にっき	diary
にゅういん	be hospitalized
にる	to be similar
にんぎょう	a doll
ぬすむ	to steal
ぬる	to paint
ぬれる	to get wet
ねだん	price
ねつ	fever
ねっしん	enthusiasm
ねぼう	sleeping in late
ねむい	to be sleepy
ねむる	to sleep
のこる	to remain
のりかえる	to tansfer
のりもの	vehicle
は	leaf
ばあい	situation
ばい	twice
はいしゃ	dentist
はこぶ	to transport
はじめる	to begin
ばしょ	location
はずかしい	embarrassed
はつおん	pronunciation
はやし	woods
はらう	to pay
はんたい	Opposition
ひ	day
ひ	fire
ひかり	light
ひかる	to shine
ひきだし	drawer
ひきだす	to draw out
ひげ	a mustache
ひこうじょう	an airport
ひさしぶり	after a long time
びじゅつかん	art gallery
ひじょうに	extremely
びっくり	be surprised
ひっこす	to move (house)
ひつよう	necessary
ひどい	awful
ひらく	to open an event
ひるやすみ	noon break
ふえる	to increase
ふかい	deep
ふくしゅう	revision
ぶちょう	head of a section
ふつう	usually
ぶどう	a grape
ふとる	to grow fat
ふとん	Japanese bed
ふね	ship
ふべん	inconvenience
ふむ	to step on
ふりだす	start to rain
ぶんか	culture
ぶんがく	litterature
ぶんぽう	grammar
べつ	different
へん	strange
へんじ	reply
ぼうえき	trade
ほうそう	to broadcast
ほうりつ	law
ぼく	I (for male)
ほし	star
ほんやく	translation
まける	to lose
まじめ	serious
まちがえる	to make a mistake
まにあう	to be in time for
まわり	surroundings
まわる	to go around
まんなか	middle
みえる	be seen
みずうみ	a lake
みそ	bean paste
みつかる	to be discovered
みつける	to discover
みな	everybody
みなと	harbour
むかう	to face
むかえる	to go to meet
むかし	olden days
むし	insect
むすこ	son
むすめ	daughter
むり	impossible
めしあがる	to eat (respectful)
めずらしい	rare
もめん	cotton
もらう	to receive
もり	forest
やく	to bake
やくそく	promise
やくにたつ	to be helpful
やさしい	kind
やせる	to become thin
やむ	to stop
やめる	to stop
やわらかい	soft
ゆ	hot water
ゆしゅつ	export
ゆにゅう	import
ゆび	finger
ゆびわ	a ring
ゆめ	dream
