Japanese	English
あけがた	dawn
あおじろい	pale
あしあと	footprints
ばいばい	trade
ばいてん	stand
ぼしゅう	recruitment
ちょうなん	eldest son
だえん	ellipse
だいがくいん	graduate school
でいりぐち	exit and entrance
えんかい	party
えんしゅう	circumference
えんそく	excursion
がっか	study subject
がっかい	scientific society
がくりょく	scholarly ability
げか	surgery
はなび	fireworks
はんけい	radius
はんとう	peninsula
はつばい	sale
はやぐち	fast-talking
はずれる	to be disconnected
ひるね	nap, siesta
いじわる	malicious
いてん	moving
いったん	once
じいん	Buddhist temple
じんぶんかがく	humanities
じしゅう	self-study
じそく	speed (per hour)
じっしゅう	practice
かはんすう	majority
かいかん	meeting hall
かいてん	rotation
かぞく	acceleration
かそくど	acceleration
こくおう	king
こくりつ	national
こくせき	nationality
ころがる	to roll
ころがす	to roll
こうしゃ	school building
こうてい	schoolyard
まちあいしつ	waiting room
まちあわせる	to rendezvous
まどぐち	ticket window
まいど	each time
まっさお	deep blue
まっしろ	pure white
めいし	business card
みせや	store
もくざい	lumber
ないか	internal medicine
なみき	roadside tree
にゅうしゃ	joining a company
おさえる	to pin down
りか	science (department)
りょうしゅう	receipt (of money)
さいさん	again and again
さっそく	at once
さす	to pierce
せいしょうねん	youth
せきどう	equator
しゃかいかがく	social science
しゃせつ	editorial
しらが	white hair
しぜんかがく	natural science
しょてん	bookshop
しょうしゃ	trading company
しょうてん	shop
しゅうごう	gathering
しゅうじ	calligraphy
しゅうかい	meeting
そぼ	father and mother
そくりょく	speed
そくたつ	express
たる	to be sufficient
とくばい	special sale
とうめい	transparent
とうよう	Orient
うれゆき	sales
うりあげ	amount sold
うりきれ	sold out
うりきれる	to be sold out
わが	my
ゆけつ	blood transfusion
ゆそう	transport
ざいもく	lumber
